country,cabinet,adjusted_tax_average,tax_created,greens_gov,weighted_galtan,weighted_leftright,weighted_eu,year_start,year_finish,decade,anti_tax_protests_5000,neutral_tax,green_revenue,perc_votes_green,after_paris_agree,gdp_per_capita_ppp,caretaker_gov,tax_euros,tax_30,tax_60,2020_climate_goal,2030_climate_goal,percent_change,brent_price,gov_debt_gdp,western_eu,libdem,share_ff_energy,bond_yield,environmental_pressure,environmental_disasters,subregion_europe
Sweden,Carlsson III,29.62,0,0,5.5,4.1,5.3,1995,1995,1990s,0,1,0,5,0,22.8,0,26.3618,0,0,NULL,NULL,7.12477396,28.9,68.7,1,0.88,38,10,,0,Northern Europe
Sweden,Persson I,31.86,0,0,5.5,4.1,5.3,1996,1998,1990s,0,1,0,5,0,24.86,0,28.3554,0,0,NULL,NULL,7.562457799,28.35666667,67.17,1,0.88,39,7,1,0,Northern Europe
Sweden,Persson II,38.81,0,1,4.59,3.43,4.09,1999,2002,1990s,0,1,0,4.49,0,29.68,0,34.5409,1,0,NULL,NULL,21.81418707,35.75,53.12,1,0.88,37,5,1,0,Northern Europe
Sweden,Persson III,61.21,0,1,4.35,3.39,4.64,2003,2006,2000s,0,1,0,4.6,0,35.96,0,54.4769,1,0,NULL,NULL,57.71708323,62.25,47.5,1,0.88,38,4,1,1,Northern Europe
Sweden,Reinfeldt I,66.65,0,0,5.72,7.57,6.16,2007,2010,2000s,0,1,0,5.2,0,41.48,0,59.3185,1,0,NULL,NULL,8.887436693,93.75,38.8,1,0.89,37,3,1,0,Northern Europe
Sweden,Reinfeldt II,65.58,0,0,5.17,7.43,6.28,2011,2014,2010s,0,1,0,7.34,0,45.69,0,58.3662,1,0,9,NULL,-1.60540135,120.75,40,1,0.89,32,2,1,0,Northern Europe
Sweden,Lofven I,62.75,0,1,3.08,3.17,4.72,2015,2018,2010s,0,1,0,6.89,1,51.36,0,55.8475,1,0,5,15,-4.315340043,58.5,41.7,1,0.89,31,1,1,1,Northern Europe
Sweden,Lofven II,52.34,0,1,3.6,5.18,5.88,2019,2021,2010s,NA,1,0,4.41,1,57,0,46.5826,1,0,1,11,-16.58964143,60,37.3,1,0.87,29,0,1,1,Northern Europe
Sweden,Andersson,52.01,0,0,4.41,4.11,5.75,2022,2022,2020s,NA,1,0,4.41,1,66.09,0,46.2889,1,0,NULL,8,-0.6304929308,94,32.9,1,0.87,26,2,1,1,Northern Europe
Portugal,Guterres I,0,0,0,3.2,4.4,7,1996,1999,1990s,0,NULL,NULL,NA,0,18.2,0,0,0,0,NULL,NULL,NULL,28.25,58.25,1,0.82,85,6,1,1,Southern Europe
Portugal,Guterres II,0,0,0,3.2,4.4,7,2000,2001,2000s,0,NULL,NULL,NA,0,21,0,0,0,0,NULL,NULL,NULL,39.5,55.8,1,0.82,85,5,0,1,Southern Europe
Portugal,Barroso,0,0,0,7.25,7.39,6.11,2002,2004,2000s,0,NULL,NULL,NA,0,22.16,0,0,0,0,NULL,NULL,NULL,43,63.67,1,0.83,87,4,0,1,Southern Europe
Portugal,Socrates I,0,0,0,3.8,4.8,6.9,2005,2009,2000s,0,NULL,NULL,NA,0,25.39,0,0,0,0,NULL,NULL,NULL,87.4,76.4,1,0.84,85,4,0,1,Southern Europe
Portugal,Socrates II,0,0,0,2.3,4,7,2010,2011,2010s,1,NULL,NULL,NA,0,26.7,0,0,0,0,10,NULL,NULL,111,107.3,1,0.84,74,7,1,1,Southern Europe
Portugal,Passos Coelho I,2.83,1,0,7.2,7.2,6.4,2012,2015,2010s,1,1,1,1.08,1,28.2,0,2.5187,0,0,8,NULL,NULL,103,131.12,1,0.84,74,6,1,1,Southern Europe
Portugal,Costa I,4.58,0,1,2.94,3.35,5.23,2016,2019,2010s,0,1,1,1.44,1,34.01,0,4.0762,0,0,4,14,61.83745583,60.5,123.9,1,0.84,74,2,1,1,Southern Europe
Portugal,Costa II,12.91,0,0,4.37,4,6.75,2020,2021,2020s,NA,1,1,3.49,1,35.6,0,11.4899,0,0,0,10,181.8777293,57.5,129.7,1,0.78,69,0,1,0,Southern Europe
Germany,Kohl VI,0,0,0,6.09,6.02,6.45,1995,1998,1990s,0,NULL,NULL,7.3,0,25.85,0,0,0,0,NULL,NULL,NULL,28.5,57.77,1,0.86,87,6,1,1,Western Europe
Germany,Schroder I,0,0,1,3.27,3.99,6.13,1999,2002,1990s,1,NULL,NULL,6.7,0,29.75,0,0,0,0,NULL,NULL,NULL,35.75,59.5,1,0.87,85,5,0,1,Western Europe
Germany,Schroder II,0,0,1,4.09,3.74,6.15,2003,2005,2000s,1,NULL,NULL,8.6,0,32.66,0,0,0,0,NULL,NULL,NULL,55,65.4,1,0.86,84,4,0,1,Western Europe
Germany,Merkel I,0,0,0,5.82,5.06,6.07,2006,2009,2000s,1,NULL,NULL,8.1,0,38.2,0,0,0,0,NULL,NULL,NULL,91.25,67.5,1,0.87,82,4,0,1,Western Europe
Germany,Merkel II,0,0,0,5.6,6.54,5.85,2010,2013,2010s,0,NULL,NULL,10.7,0,42.75,0,0,0,0,10,NULL,NULL,117.25,80.1,1,0.87,81,2,1,1,Western Europe
Germany,Merkel III,0,0,0,5.5,4.98,6.2,2014,2017,2010s,0,NULL,NULL,8.4,1,49.64,0,0,0,0,6,16,NULL,67.25,70.35,1,0.85,79,0,0,1,Western Europe
Germany,Merkel IV,13,1,0,5.07,5.11,6.3,2018,2021,2010s,NA,1,1,8.9,1,56.44,0,11.57,0,0,2,12,NULL,63.25,64.82,1,0.83,76,0,0,1,Western Europe
Finland,Lipponen I,7.08,0,1,4.63,4.76,6.36,1995,1998,1990s,0,1,0,6.5,0,22.15,0,6.3012,0,0,NULL,NULL,255.7788945,28.5,52.37,1,0.83,66,7,0,0,Northern Europe
Finland,Lipponen II,11.15,0,1,4.67,5.07,6.37,1999,2001,1990s,0,1,0,7.3,0,27.49,0,9.9235,0,0,NULL,NULL,57.48587571,35.66666667,44.2,1,0.83,64,5,0,0,Northern Europe
Finland,Lipponen III,9.72,0,0,4.56,5.02,6.22,2002,2002,2000s,0,1,0,7.3,0,29.92,0,8.6508,0,0,NULL,NULL,-12.82511211,36,42.8,1,0.83,67,5,0,0,Northern Europe
Finland,Vanhanen I,9.82,0,0,5.49,4.55,5.66,2003,2006,2000s,0,1,0,8,0,34.11,0,8.7398,0,0,NULL,NULL,1.028806584,62.25,43.07,1,0.83,63,4,0,1,Northern Europe
