"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","STINTFORECAST","TOT","PC_PA","A","1968",5.11666666666667,
"AUS","STINTFORECAST","TOT","PC_PA","A","1969",5.56666666666667,
"AUS","STINTFORECAST","TOT","PC_PA","A","1970",7.10833333333334,
"AUS","STINTFORECAST","TOT","PC_PA","A","1971",7.00833333333334,
"AUS","STINTFORECAST","TOT","PC_PA","A","1972",5.08333333333334,
"AUS","STINTFORECAST","TOT","PC_PA","A","1973",6.98333333333333,
"AUS","STINTFORECAST","TOT","PC_PA","A","1974",13.1583333333333,
"AUS","STINTFORECAST","TOT","PC_PA","A","1975",8.525,
"AUS","STINTFORECAST","TOT","PC_PA","A","1976",9.24,
"AUS","STINTFORECAST","TOT","PC_PA","A","1977",10.2125,
"AUS","STINTFORECAST","TOT","PC_PA","A","1978",9.84333333333334,
"AUS","STINTFORECAST","TOT","PC_PA","A","1979",9.77333333333334,
"AUS","STINTFORECAST","TOT","PC_PA","A","1980",12.0275,
"AUS","STINTFORECAST","TOT","PC_PA","A","1981",15.0383333333333,
"AUS","STINTFORECAST","TOT","PC_PA","A","1982",16.8341666666667,
"AUS","STINTFORECAST","TOT","PC_PA","A","1983",12.1991666666667,
"AUS","STINTFORECAST","TOT","PC_PA","A","1984",12.1,
"AUS","STINTFORECAST","TOT","PC_PA","A","1985",15.9825,
"AUS","STINTFORECAST","TOT","PC_PA","A","1986",16.4516666666667,
"AUS","STINTFORECAST","TOT","PC_PA","A","1987",13.75,
"AUS","STINTFORECAST","TOT","PC_PA","A","1988",12.8,
"AUS","STINTFORECAST","TOT","PC_PA","A","1989",17.6116666666667,
"AUS","STINTFORECAST","TOT","PC_PA","A","1990",14.5433333333334,
"AUS","STINTFORECAST","TOT","PC_PA","A","1991",10.2258333333333,
"AUS","STINTFORECAST","TOT","PC_PA","A","1992",6.46583333333333,
"AUS","STINTFORECAST","TOT","PC_PA","A","1993",5.15166666666667,
"AUS","STINTFORECAST","TOT","PC_PA","A","1994",5.65666666666667,
"AUS","STINTFORECAST","TOT","PC_PA","A","1995",7.72583333333333,
"AUS","STINTFORECAST","TOT","PC_PA","A","1996",7.15166666666667,
"AUS","STINTFORECAST","TOT","PC_PA","A","1997",5.39583333333333,
"AUS","STINTFORECAST","TOT","PC_PA","A","1998",5.00166666666667,
"AUS","STINTFORECAST","TOT","PC_PA","A","1999",5.01166666666667,
"AUS","STINTFORECAST","TOT","PC_PA","A","2000",6.1775,
"AUS","STINTFORECAST","TOT","PC_PA","A","2001",4.89916666666667,
"AUS","STINTFORECAST","TOT","PC_PA","A","2002",4.74666666666667,
"AUS","STINTFORECAST","TOT","PC_PA","A","2003",4.89583333333334,
"AUS","STINTFORECAST","TOT","PC_PA","A","2004",5.47833333333333,
"AUS","STINTFORECAST","TOT","PC_PA","A","2005",5.64416666666667,
"AUS","STINTFORECAST","TOT","PC_PA","A","2006",5.98833333333334,
"AUS","STINTFORECAST","TOT","PC_PA","A","2007",6.6675,
"AUS","STINTFORECAST","TOT","PC_PA","A","2008",6.97333333333333,
"AUS","STINTFORECAST","TOT","PC_PA","A","2009",3.43416666666667,
"AUS","STINTFORECAST","TOT","PC_PA","A","2010",4.68333333333333,
"AUS","STINTFORECAST","TOT","PC_PA","A","2011",4.84833333333333,
"AUS","STINTFORECAST","TOT","PC_PA","A","2012",3.72833333333333,
"AUS","STINTFORECAST","TOT","PC_PA","A","2013",2.7775,
"AUS","STINTFORECAST","TOT","PC_PA","A","2014",2.6775,
"AUS","STINTFORECAST","TOT","PC_PA","A","2015",2.25583333333333,
"AUS","STINTFORECAST","TOT","PC_PA","A","2016",1.98666666666667,
"AUS","STINTFORECAST","TOT","PC_PA","A","2017",1.74,
"AUS","STINTFORECAST","TOT","PC_PA","A","2018",1.94833333333333,
"AUS","STINTFORECAST","TOT","PC_PA","A","2019",1.34416666666666,
"AUS","STINTFORECAST","TOT","PC_PA","A","2020",0.256666666666667,
"AUS","STINTFORECAST","TOT","PC_PA","A","2021",0.0283333333333334,
"AUS","STINTFORECAST","TOT","PC_PA","A","2022",1.63666666666667,
"AUS","STINTFORECAST","TOT","PC_PA","A","2023",3.98083333333333,
"AUS","STINTFORECAST","TOT","PC_PA","A","2024",4.23,
"AUS","STINTFORECAST","TOT","PC_PA","A","2025",3.7,
"AUT","STINTFORECAST","TOT","PC_PA","A","1967",4.97833971902937,
"AUT","STINTFORECAST","TOT","PC_PA","A","1968",4.33421243082163,
"AUT","STINTFORECAST","TOT","PC_PA","A","1969",4.70540442741592,
"AUT","STINTFORECAST","TOT","PC_PA","A","1970",5.88448488718604,
"AUT","STINTFORECAST","TOT","PC_PA","A","1971",4.59623031077054,
"AUT","STINTFORECAST","TOT","PC_PA","A","1972",5.4150361856109,
"AUT","STINTFORECAST","TOT","PC_PA","A","1973",7.27099616858238,
"AUT","STINTFORECAST","TOT","PC_PA","A","1974",7.60943593018306,
"AUT","STINTFORECAST","TOT","PC_PA","A","1975",5.75347594721158,
"AUT","STINTFORECAST","TOT","PC_PA","A","1976",4.89100042571307,
"AUT","STINTFORECAST","TOT","PC_PA","A","1977",7.84961898680289,
"AUT","STINTFORECAST","TOT","PC_PA","A","1978",6.75787782034908,
"AUT","STINTFORECAST","TOT","PC_PA","A","1979",5.86810876968923,
"AUT","STINTFORECAST","TOT","PC_PA","A","1980",10.7864027245636,
"AUT","STINTFORECAST","TOT","PC_PA","A","1981",11.9108961260111,
"AUT","STINTFORECAST","TOT","PC_PA","A","1982",9.19246062154108,
"AUT","STINTFORECAST","TOT","PC_PA","A","1983",5.62246700723712,
"AUT","STINTFORECAST","TOT","PC_PA","A","1984",6.85613452532993,
"AUT","STINTFORECAST","TOT","PC_PA","A","1985",6.46310770540655,
"AUT","STINTFORECAST","TOT","PC_PA","A","1986",5.54604512558536,
"AUT","STINTFORECAST","TOT","PC_PA","A","1987",4.54164325244785,
"AUT","STINTFORECAST","TOT","PC_PA","A","1988",4.78182630906769,
"AUT","STINTFORECAST","TOT","PC_PA","A","1989",7.74928373776075,
"AUT","STINTFORECAST","TOT","PC_PA","A","1990",8.96416666666667,
"AUT","STINTFORECAST","TOT","PC_PA","A","1991",9.46333333333333,
"AUT","STINTFORECAST","TOT","PC_PA","A","1992",9.46,
"AUT","STINTFORECAST","TOT","PC_PA","A","1993",7.02333333333333,
"AUT","STINTFORECAST","TOT","PC_PA","A","1994",5.1175,
"AUT","STINTFORECAST","TOT","PC_PA","A","1995",4.56833333333333,
"AUT","STINTFORECAST","TOT","PC_PA","A","1996",3.37333333333334,
"AUT","STINTFORECAST","TOT","PC_PA","A","1997",3.4975,
"AUT","STINTFORECAST","TOT","PC_PA","A","1998",3.60083333333333,
"AUT","STINTFORECAST","TOT","PC_PA","A","1999",2.9635,
"AUT","STINTFORECAST","TOT","PC_PA","A","2000",4.39176666666667,
"AUT","STINTFORECAST","TOT","PC_PA","A","2001",4.26178333333333,
"AUT","STINTFORECAST","TOT","PC_PA","A","2002",3.31859166666667,
"AUT","STINTFORECAST","TOT","PC_PA","A","2003",2.33346666666667,
"AUT","STINTFORECAST","TOT","PC_PA","A","2004",2.106325,
"AUT","STINTFORECAST","TOT","PC_PA","A","2005",2.184675,
"AUT","STINTFORECAST","TOT","PC_PA","A","2006",3.079225,
"AUT","STINTFORECAST","TOT","PC_PA","A","2007",4.27760833333333,
"AUT","STINTFORECAST","TOT","PC_PA","A","2008",4.63423333333334,
"AUT","STINTFORECAST","TOT","PC_PA","A","2009",1.22835833333333,
"AUT","STINTFORECAST","TOT","PC_PA","A","2010",0.810950000000001,
"AUT","STINTFORECAST","TOT","PC_PA","A","2011",1.3906,
"AUT","STINTFORECAST","TOT","PC_PA","A","2012",0.573183333333333,
"AUT","STINTFORECAST","TOT","PC_PA","A","2013",0.220666666666667,
"AUT","STINTFORECAST","TOT","PC_PA","A","2014",0.209933333333333,
"AUT","STINTFORECAST","TOT","PC_PA","A","2015",-0.0193666666666667,
"AUT","STINTFORECAST","TOT","PC_PA","A","2016",-0.263691666666667,
"AUT","STINTFORECAST","TOT","PC_PA","A","2017",-0.32905,
"AUT","STINTFORECAST","TOT","PC_PA","A","2018",-0.322091666666667,
"AUT","STINTFORECAST","TOT","PC_PA","A","2019",-0.356333333333333,
"AUT","STINTFORECAST","TOT","PC_PA","A","2020",-0.42515,
"AUT","STINTFORECAST","TOT","PC_PA","A","2021",-0.548766666666667,
